Точка,Название,Значение,Локализация
Bl1,Jingming,"Цзин» (目胃)一 глаза; «минг»  一 просветление. Точка расположена у внутреннего угла глаза, используется при лечении болезней глаз, то есть способствует «просветлению .","На 0,1 цуня кнутри от внутреннего угла глаза."
Bl2,Zanzhu,"Цуань  — «сходиться вместе»; «чжу» (竹)—«бамбук». Брови похожи на густые заросли молодого бамбука. Кроме того, иероглиф «чжу»  названия точки по форме также напоминает брови. Точка расположена в месте схождения бровей, отсюда и название.","В углублении у внутреннего края брови, прямо вверх от точки Цзин-мии V.1."
Bl3,Meichong,"Мэй — «бровь»; «чун»  — «устремляться». В книге «Хуэйюань чжэнь цзю сюэ» (Наука иглоукалывания и прижигания Цзяо Хуэйюаня, 1937 г.) название точки объясняется следующим образом: Канальная Ци от брови устремляется прямо вверх и входит в границу роста волос.","Прямо вверх от внутреннего края брови, в середине расстояния между точками Шэнь-тин VG.24 и Цюй-чай V.4."
Bl4,Quchai,"Цюй  (曲)——изгиб; «чай» (差)一отклоняться в сторону， Ножной тай-ян канал мочевого пузыря от точки Мэй-чун V.3 делает изгиб и отклоняется в сторону к точке Цюй-чай V.4, отсюда и название.","На 1,5 цуня кнаружи от точки Шэнь-тин VG.24"
Bl5,Wuchu," У (五)——«пять, пятый»; чу (处)—«место». Точка У-чу V.5 — пятая по ходу ножного тай-ян канала мочевого пузыря, отсюда и название.","Прямо вверх от точки Цюй-чай V.4, на 1 цунь выше передней границы роста волос, на 1,5 цуня кнаружи от точки Шан-син VG.23. "
Bl6,Chengguang,"«Чэн» — «получать»; «гуан»  — «свет». Точка используется при лечении различных глазных болезней, способствует тому, чтобы глаза вновь «получили свет».","На 1,5 цуня кзади от точки У-чу V.5."
Bl7,Tongtian,"《Тун» (通)—«достигать, доходить»; «тянь» (天)—«небо». В месте расположения этой точки ножной тай-ян канал мочевого пузыря достигает самого высокого места, которое можно сравнить с небом.","На 1,5 цуня кзади от Чэн-гуан V.6, на 1,5 цуня кнаружи от срединной линии."
Bl8,Luoque,"«Ло»  — «связываться»; «цюэ»  — «возвратиться». Ножной тай-ян канал мочевого пузыря от точки Бай-хуэй VG.20 входит внутрь черепа и связывается (ло) с головным мозгом, затем вновь «возвращается» (цюэ) на поверхность в месте расположения точки Ло-цюэ V.8.","На 1,5 цуня кзади от точки Тун-тянь V.7, на 1,5 цуня кнаружи от срединной линии."
Bl9,Yuzhen,"Юй (玉)——нефритовый; чжэнь (枕)一подушка. Юй-Чжэнь (доел, «нефритовая подушка») — древнее название затылочной кости, в области которой расположена точка.","На 1,5 цуня кзади от точки Ло-цюэ V.8, на 1,3 цуня кнаружи от точки Нао-ху VG.17, на уровне верхнего края наружного затылочного выступа."
Bl10,Tianzhu,"«Тянь» (天)—«небо»; «чжу» (柱)—«опора, столп». Голова относится к верхней («небесной») части человеческого тела. Шея — «опора головы». Точка расположена на шее, поэтому сравнивается со «столпом небес.","На затылочной границе роста волос, в углублении у наружного края трапециевидной мышцы, на 1,3 цуня кнаружи от точки Я-мэнь VG.15."
Bl11,Dazhu,"«Да» (大)—«большой»; «чжу» (抒)— «челнок ручного ткацкого станка». В древности для обозначения первого грудного позвонка («большого позвонка») применялся термин «чжу гу» (доел, «челночная кость») Точка расположена на уровне первого грудного позвонка, отсюда и название.","На 1,5 цуня кнаружи от места под остистым отростком I грудного позвонка."
Bl12,Fengmen,"«Фэн» —— ветер ; «мэнь» — ворота. Фэн-мэнь V.12 — важная точка лечения болезней, связанных с восприятием патогенного ветра, сравнивается с «воротами», через которые патогенный ветер проникает в организм, «открыв» эти «ворота» путем воздействия на точку, можно изгнать ветер из организма","На 1,5 цуня кнаружи от места под остистым отростком II грудного позвонка."
Bl13,Feishu,"Фэй (Я市)—«легкие»; шу (俞)—«шу-точка спины». Фэй-шу V.13 — шу-точка спины легких, место скопления Ци легких, важная точка лечения болезней легких.","На 1,5 цуня кнаружи от места под остистым отростком III грудного позвонка."
Bl14,Jueyinshu,"Цзюэ инь» (厥阴)一 ручной цзюэ-инь канал перикарда; «шу» (俞)一 шу-точка спины. Цзюэ-инь-шу V.14 — шу-точка спины перикарда, место скопления Ци перикарда, важная точка лечения болезней перикарда."," На 1,5 цуня кнаружи от места под остистым отростком IV грудного позвонка."
Bl15,Xinshu,"«Синь»  — «сердце»; «шу» — «шу-точка спины». Синь-шу V.15 — шу-точка спины сердца, место скопления Ци сердца, важная точка лечения болезней сердца.","На 1,5 цуня кнаружи от места под остистым отростком V грудного позвонка."
Bl16,Dushu,"«Ду» (督)一 сосуд Ду-май; «шу» (俞)一шу-точка спины. Точка Ду-шу V.16 впервые описана в книге «Тай пин шэн хуэй фан» (Собрание чудодейственных рецептов Великого спокойствия, 992 ,), где она рассматривается как шу-точка спины сосуда Ду-май. Эта точка зрения не получила широкого распространения, поэтому в других источниках точка Ду-шу V.16 не включена в состав шу-точек спины. Кроме того, среди показаний к использованию точки нарушения в сосуде Ду-май, как правило, отсутствуют.","На 1,5 цуня кнаружи от места под остистым отростком VI грудного позвонка."
Bl17,Geshu,"Гэ — «диафрагма»; шу (俞)—«шу-точка спины». Шу-точки спины — это двенадцать точек канала мочевого пузыря, расположенных на спине на 1,5 цуня от срединной линии, куда вливается Ци соответствующих цзанфу-органов. Точка Гэ-шу V.17 находится между шу-точками спины цзанфу-органов. Считается, что внутри ей соответствует диафрагма, однако она не относится к двенадцати шу-точкам спины, так как диафрагма не является цзанфу-органом.","На 1,5 цуня кнаружи от места под остистым отростком VII грудного позвонка."
Bl18,Ganshu,"Гань» — «печень»; «шу»  — «шу-точка спины». Гань-шу V.18 — шу-точка спины печени, место скопления Ци печени, важная точка лечения болезней печени.","На 1,5 цуня кнаружи от места под остистым отростком IX грудного позвонка."
Bl19,Danshu,"«Дань» — «желчный пузырь»; «шу»  — «шу-точка спины». Дань-шу V.19 — шу-точка спины желчного пузыря, место скопления Ци желчного пузыря, важная точка лечения болезней желчного пузыря.","На 1,5 цуня кнаружи от места под остистым отростком X грудного позвонка."
Bl20,Pishu,"«Пи» - «селезенка»; «шу» — «шу-точка спины». Пи-шу V.20 — шу-точка спины селезенки, место скопления Ци селезенки, важная точка лечения болезней селезенки.","На 1,5 цуня кнаружи от места под остистым отростком XI грудного позвонка."
Bl21,Weishu,"Вэй  (胃)一 желудок ; шу (俞)—— шу-точка спины. Вэй-шу V.21 — шу-точка спины желудка, место скопления Ци желудка, важная точка лечения болезней желудка.","На 1,5 цуня кнаружи от места под остистым отростком XII грудного позвонка."
Bl22,Sanjiaoshu," Сань-цзяо ——Сань-цзяо, один из шести Фу-органов; «шу» (俞)一 шу-точка спины. Сань-цзяо-шу V.22 — шу-точка спины Сань-цзяо, место скопления Ци Сань-цзяо, важная точка лечения болезней Сань-цзяо.","На 1,5 цуня кнаружи от места под остистым отростком I поясничного позвонка."
Bl23,Shenshu,"«Шэнь»  — «почки»; «шу»  — «шу-точка спины». Шэнь-шу V.23 — шу-точка спины почек, место скопления Ци почек, важная точка лечения болезней почек.","На 1,5 цуня кнаружи от места под остистым отростком II поясничного позвонка."
Bl24,Qihaishu,"Ци хай» (气海)——точка Ци-хай VC.6 ; «шу» (俞)—— шу-точка спины. Точка Ци- хай-шу V.24 впервые описана в книге «Тай пин шэн хуэй фан» (Собрание чудодейственных рецептов Великого спокойствия, 992 г.), где она рассматривается как шу-точка спины точки Ци-хай VC.6, расположенной на животе, — «моря Ци*, важной точки лечения недостатка первичной Ци.","На 1,5 цуня кнаружи от места под остистым отростком III поясничного позвонка."
Bl25,Dachangshu,"«Да чан» (大肠)一 толстый кишечник; «шу» (俞)一 шу-точка спины. Да-чан-шу V.25 — шу-точка спины толстого кишечника, место скопления Ци толстого кишечника, важная точка лечения болезней толстого кишечника.","На 1,5 цуня кнаружи от места под остистым отростком IV поясничного позвонка."
Bl26,Guanyuanshu,"Гуань юань»  — «точка Гуань-юань VC.4»; «шу» — «шу-точка спины». Точка Гуань-юань-шу V.26 впервые описана в книге «Тай пин шэн хуэй фан» (Собрание чудодейственных рецептов Великого спокойствия, 992 г.), где она рассматривается как шу-точка спины точки Гуань.","На 1,5 цуня кнаружи от места под остистым отростком V поясничного позвонка."
Bl27,Xiaochangshu,"Сяо чан 一 тонкий кишечник ; шу (俞)一 шу-точка спины . Сяо-чан-шу V.27 — шу-точка спины тонкого кишечника, место скопления Ци тонкого кишечника, важная точка лечения болезней тонкого кишечника.","На 1,5 цуня кнаружи от места под остистым отростком I крестцового позвонка."
Bl28,Pangguangshu,"«Пан гуан» (膀腕)—«мочевой пузырь»; «шу» (俞)—«шу-точка спины». Пан-гуан- шу V.28 — шу-точка спины мочевого пузыря, место скопления Ци мочевого пузыря, важная точка лечения болезней мочевого пузыря.","На 1,5 цуня кнаружи от места под остистым отростком II крестцового позвонка."
Bl29,Zhonglushu,"Чжун»  — середина; «люй»  — древний анатомический термин, обозначающий мышцы с двух сторон позвоночника; «шу» (俞)—«шу-точка спины». Точка расположена в середине тела человека, в области «люй», на одной линии с шу-точками спины, отсюда и название","На 1,5 цуня кнаружи от места под остистым отростком III крестцового позвонка."
Bl30,Baihuanshu,"«Бай» (白)—«белый»; «хуань» (环)—«кольцо»; «шу» (俞)——«шу-точка спины». Точка используется при лечении белей, расположена на одной линии с шу-точками спины, отсюда и название."," На 1,5 цуня кнаружи от места под остистым отростком IV крестцового позвонка."
