year,Орган,Стихия
1924,Gb,земля
1925,Liv,металл
1926,Si,вода
1927,Ht,дерево
1928,St,огонь
1929,Sp,земля
1930,Co,металл
1931,Lu,вода
1932,Bl,дерево
1933,Kid,огонь
1934,Gb,земля
1935,Liv,металл
1936,Si,вода
1937,Ht,дерево
1938,St,огонь
1939,Sp,земля
1940,Co,металл
1941,Lu,вода
1942,Bl,дерево
1943,Kid,огонь
1944,Gb,земля
1945,Liv,металл
1946,Si,вода
1947,Ht,дерево
1948,St,огонь
1949,Sp,земля
1950,Co,металл
1951,Lu,вода
1952,Bl,дерево
1953,Kid,огонь
1954,Gb,земля
1955,Liv,металл
1956,Si,вода
1957,Ht,дерево
1958,St,огонь
1959,Sp,земля
1960,Co,металл
1961,Lu,вода
1962,Bl,дерево
1963,Kid,огонь
1964,Gb,земля
1965,Liv,металл
1966,Si,вода
1967,Ht,дерево
1968,St,огонь
1969,Sp,земля
1970,Co,металл
1971,Lu,вода
1972,Bl,дерево
1973,Kid,огонь
1974,Gb,земля
1975,Liv,металл
1976,Si,вода
1977,Ht,дерево
1978,St,огонь
1979,Sp,земля
1980,Co,металл
1981,Lu,вода
1982,Bl,дерево
1983,Kid,огонь
1984,Gb,земля
1985,Liv,металл
1986,Si,вода
1987,Ht,дерево
1988,St,огонь
1989,Sp,земля
1990,Co,металл
1991,Lu,вода
1992,Bl,дерево
1993,Kid,огонь
1994,Gb,земля
1995,Liv,металл
1996,Si,вода
1997,Ht,дерево
1998,St,огонь
1999,Sp,земля
2000,Co,металл
2001,Lu,вода
2002,Bl,дерево
2003,Kid,огонь
2004,Gb,земля
2005,Liv,металл
2006,Si,вода
2007,Ht,дерево
2008,St,огонь
2009,Sp,земля
2010,Co,металл
2011,Lu,вода
2012,Bl,дерево
2013,Kid,огонь
2014,Gb,земля
2015,Liv,металл
2016,Si,вода
2017,Ht,дерево
2018,St,огонь
2019,Sp,земля
2020,Co,металл
2021,Lu,вода
2022,Bl,дерево
2023,Kid,огонь
2024,Gb,земля
2025,Liv,металл
2026,Si,вода
2027,Ht,дерево
2028,St,огонь
2029,Sp,земля
2030,Co,металл
2031,Lu,вода
2032,Bl,дерево
2033,Kid,огонь
2034,Gb,земля
2035,Liv,металл
2036,Si,вода
2037,Ht,дерево
2038,St,огонь
2039,Sp,земля
2040,Co,металл
2041,Lu,вода
2042,Bl,дерево
