year,Орган,Стихия
1924,Gb,вода
1925,Liv,земля
1926,Lu,дерево
1927,Co,дерево
1928,St,земля
1929,Sp,огонь
1930,Ht,огонь
1931,Si,земля
1932,Bl,металл
1933,Kid,металл
1934,Hg,земля
1935,Th,вода
1936,Gb,вода
1937,Liv,земля
1938,Lu,дерево
1939,Co,дерево
1940,St,земля
1941,Sp,огонь
1942,Ht,огонь
1943,Si,земля
1944,Bl,металл
1945,Kid,металл
1946,Hg,земля
1947,Th,вода
1948,Gb,вода
1949,Liv,земля
1950,Lu,дерево
1951,Co,дерево
1952,St,земля
1953,Sp,огонь
1954,Ht,огонь
1955,Si,земля
1956,Bl,металл
1957,Kid,металл
1958,Hg,земля
1959,Th,вода
1960,Gb,вода
1961,Liv,земля
1962,Lu,дерево
1963,Co,дерево
1964,St,земля
1965,Sp,огонь
1966,Ht,огонь
1967,Si,земля
1968,Bl,металл
1969,Kid,металл
1970,Hg,земля
1971,Th,вода
1972,Gb,вода
1973,Liv,земля
1974,Lu,дерево
1975,Co,дерево
1976,St,земля
1977,Sp,огонь
1978,Ht,огонь
1979,Si,земля
1980,Bl,металл
1981,Kid,металл
1982,Hg,земля
1983,Th,вода
1984,Gb,вода
1985,Liv,земля
1986,Lu,дерево
1987,Co,дерево
1988,St,земля
1989,Sp,огонь
1990,Ht,огонь
1991,Si,земля
1992,Bl,металл
1993,Kid,металл
1994,Hg,земля
1995,Th,вода
1996,Gb,вода
1997,Liv,земля
1998,Lu,дерево
1999,Co,дерево
2000,St,земля
2001,Sp,огонь
2002,Ht,огонь
2003,Si,земля
2004,Bl,металл
2005,Kid,металл
2006,Hg,земля
2007,Th,вода
2008,Gb,вода
2009,Liv,земля
2010,Lu,дерево
2011,Co,дерево
2012,St,земля
2013,Sp,огонь
2014,Ht,огонь
2015,Si,земля
2016,Bl,металл
2017,Kid,металл
2018,Hg,земля
2019,Th,вода
2020,Gb,вода
2021,Liv,земля
2022,Lu,дерево
2023,Co,дерево
2024,St,земля
2025,Sp,огонь
2026,Ht,огонь
2027,Si,земля
2028,Bl,металл
2029,Kid,металл
2030,Hg,земля
2031,Th,вода
2032,Gb,вода
2033,Liv,земля
2034,Lu,дерево
2035,Co,дерево
2036,St,земля
2037,Sp,огонь
2038,Ht,огонь
2039,Si,земля
2040,Bl,металл
2041,Kid,металл
2042,Hg,земля
