Орган,Стихия_усин,Инь_Ян,Стихия_сезон,Gui,Xi,Luo,Jing_Jin,Yuan
Gb,дерево,Yang,вода,Gv23,Gb36,Gb37,Gb44,Gb40
Si,огонь,Yang,земля,HG8(HG7),Si6,Si7,Si1,Si4
Th,огонь,Yang,вода,Sp1,Th7,Th5,Th1,Th4
St,земля,Yang,земля,St6,St34,St40,St45,St42
Co,металл,Yang,дерево,Cv24,Co7,Co6,Co1,Co4
Bl,вода,Yang,металл,HG7(HG5),Bl63,Bl58,Bl67,Bl64
Liv,дерево,Yin,земля,Gv16,Liv6,Liv5,Liv1,Liv3
Ht,огонь,Yin,огонь,Lu11,Ht6,Ht5,Ht9,Ht7
Hg,огонь,Yin,земля,Bl62,Hg4,Hg6,Hg9,Hg7
Sp,земля,Yin,огонь,MNH37,Sp8,Sp4,Sp1,Sp3
Lu,металл,Yin,дерево,Gv26,Lu6,Lu7,Lu11,Lu9
Kid,вода,Yin,металл,Co11,Kid5,Kid4,Kid1,Kid3
